timestamp,lidar_pose.x,lidar_pose.y,lidar_pose.z,lidar_pose.roll,lidar_pose.pitch,lidar_pose.yaw
1509348828.186999083,-11.5697326660,37.3645362854,1.7883220911,0.0184594367,-0.0625244893,-0.0884479193
1509348828.287060022,-11.5308933258,37.4525451660,1.7972131968,0.0045569998,-0.0286164918,-0.0937948757
1509348828.387178898,-11.5076875687,37.5787429810,1.7801921368,-0.0110904542,-0.0061936890,-0.0880895517
1509348828.487143993,-11.5043239594,37.6744689941,1.7115495205,-0.0088482738,0.0058088775,-0.0803197183
1509348828.587301016,-11.5351676941,37.7775840759,1.7084877491,0.0141369947,0.0023556307,-0.0643214360
1509348828.687370062,-11.5513448715,37.9062232971,1.7476963997,0.0107738340,-0.0076135829,-0.0256064192
1509348828.787589073,-11.5383415222,38.0587806702,1.7589526176,-0.0068367294,-0.0221747699,0.0226092067
1509348828.887487888,-11.5138387680,38.2986793518,1.7592723370,-0.0393346210,-0.0348248483,0.0400660255
1509348828.987750053,-11.5956001282,38.4908142090,1.7266795635,-0.0743916375,-0.0491459180,0.0257050565
1509348829.087763071,-11.6657066345,38.6537895203,1.6897295713,-0.0866173998,-0.0801614361,0.0111180914
1509348829.187741041,-11.6989259720,38.7628326416,1.7033931017,-0.0683652484,-0.1093424131,-0.0240684742
1509348829.287827015,-11.6795654297,38.8491134644,1.7964996099,-0.0892803837,-0.1302206963,-0.0275326052
1509348829.388073921,-11.6390657425,38.9074859619,1.7960984707,-0.1318650820,-0.1321229109,0.0097342097
1509348829.488048077,-11.6504831314,39.1432266235,1.7654757500,-0.1519751910,-0.1113357705,0.0509947508
1509348829.588171005,-11.6866941452,39.3257408142,1.7050194740,-0.1401620304,-0.0877842386,0.0420794211
1509348829.688198090,-11.6380834579,39.3863716125,1.7183736563,-0.0938182520,-0.0621552446,0.0373077503
1509348829.788350105,-11.6575927734,39.4886932373,1.7427941561,-0.0857930377,-0.0605509488,0.0521219956
1509348829.888461113,-11.6683673859,39.6451873779,1.7430670261,-0.0985206235,-0.0789286068,0.0754755967
1509348829.988492966,-11.7022151947,39.8258438110,1.7380703688,-0.1105061567,-0.0917602104,0.0828690897
1509348830.088560104,-11.7327566147,39.9661941528,1.6862864494,-0.1088371380,-0.0944462430,0.0818046076
1509348830.188617945,-11.7997665405,40.1575660706,1.6957697868,-0.0800374975,-0.1115112620,0.0727726184
1509348830.288784981,-11.8040399551,40.2682380676,1.7702379227,-0.0790186128,-0.1177795024,0.0489400131
1509348830.488939047,-11.7989187241,40.5343704224,1.7818349600,-0.1262372026,-0.0919033377,0.0414763739
1509348830.589010954,-11.8212823868,40.7090835571,1.7426142693,-0.1415726565,-0.0769535493,0.0343733081
1509348830.689240932,-11.7947931290,40.7532806396,1.7077244520,-0.1072358714,-0.0524941526,0.0275168421
1509348830.789273977,-11.8066520691,40.8681449890,1.7188408375,-0.0781161316,-0.0384848550,0.0464758273
1509348830.889359951,-11.8136310577,41.0006523132,1.7329741716,-0.0868536755,-0.0608498458,0.0788732261
1509348830.989480972,-11.8324937820,41.1697120667,1.7404582500,-0.0910407335,-0.0842726109,0.1017002117
1509348831.089446068,-11.8711271286,41.3151664734,1.7191151381,-0.0953846303,-0.0929320749,0.1141972160
1509348831.189527988,-11.8764867783,41.4284896851,1.6758038998,-0.0742621844,-0.1135922238,0.1312931398
1509348831.289668083,-11.9281263351,41.6197052002,1.7543992996,-0.0650283776,-0.1432561152,0.1306141265
1509348831.389728069,-11.9811372757,41.7974433899,1.8454662561,-0.0983993721,-0.1376232057,0.1224594672
1509348831.489809036,-11.9468641281,41.8995208740,1.8098542690,-0.1401687428,-0.1147661398,0.1133452529
1509348831.589901924,-11.9569664001,42.0474395752,1.7429708242,-0.1582036500,-0.1092477967,0.1146903180
1509348831.689948082,-11.9748382568,42.1839637756,1.6915119886,-0.1348701051,-0.1207834022,0.0958907050
1509348831.790085077,-11.9260969162,42.2514762878,1.7205628157,-0.0911107717,-0.1237560606,0.1035800600
1509348831.890180111,-11.9571943283,42.4108581543,1.7746413946,-0.0951158021,-0.1368178819,0.1075931685
1509348831.990303993,-12.0013999939,42.5508880615,1.7770224810,-0.1095957124,-0.1459482408,0.1052509546
1509348832.090295076,-12.0181083679,42.6807365417,1.7423043251,-0.1130334103,-0.1449626767,0.0971208749
1509348832.190408945,-12.0453662872,42.7898979187,1.6791691780,-0.0935167297,-0.1465352887,0.0938228703
1509348832.290508986,-12.0879020691,42.9541625977,1.6995816231,-0.0484493996,-0.1564428002,0.0851306193
1509348832.390567064,-12.1139812469,43.1132392883,1.7923237085,-0.0422819895,-0.1591316871,0.0708695362
1509348832.490665913,-12.1033029556,43.2192916870,1.7896806002,-0.0611188229,-0.1468469976,0.0603875093
1509348832.590747118,-12.1091365814,43.2784576416,1.7566443682,-0.0737611577,-0.1354759591,0.0676901643
1509348832.690795898,-12.1122674942,43.4227905273,1.7521115541,-0.0828243737,-0.1271167656,0.0884433886
1509348832.791644096,-12.1161146164,43.5297393799,1.7258964777,-0.0660747855,-0.1076763595,0.1050802736
1509348832.890991926,-12.1146469116,43.6841773987,1.7308827639,-0.0501220032,-0.0995025206,0.1504601076
1509348832.991082907,-12.1142272949,43.8361549377,1.7636420727,-0.0789760948,-0.1114213669,0.1745743081
1509348833.091089964,-12.1478424072,44.0153465271,1.7730153799,-0.1039743831,-0.1165685620,0.1792373180
